"Type","Name","SourceKB","OutputKB","Output"
"illustration","payment-success","990.7","433.8","apps\cashier\assets\illustrations\nojpos\payment-success.png"
"illustration","payment-failed","1038.5","450.9","apps\cashier\assets\illustrations\nojpos\payment-failed.png"
"illustration","receipt-ready","1060.7","540.2","apps\cashier\assets\illustrations\nojpos\receipt-ready.png"
"illustration","refund-success","1053.5","528.9","apps\cashier\assets\illustrations\nojpos\refund-success.png"
"illustration","success-saved","1137.7","482.5","apps\cashier\assets\illustrations\nojpos\success-saved.png"
"illustration","shift-open","1012.8","549.2","apps\cashier\assets\illustrations\nojpos\shift-open.png"
"illustration","shift-closed","1114.8","568.7","apps\cashier\assets\illustrations\nojpos\shift-closed.png"
"illustration","empty-products","1049.7","549","apps\cashier\assets\illustrations\nojpos\empty-products.png"
"illustration","empty-customers","968.4","484.2","apps\cashier\assets\illustrations\nojpos\empty-customers.png"
"illustration","empty-transactions","1107","566.8","apps\cashier\assets\illustrations\nojpos\empty-transactions.png"
"illustration","empty-reports","1113.4","545.3","apps\cashier\assets\illustrations\nojpos\empty-reports.png"
"illustration","empty-notifications","996.2","520.8","apps\cashier\assets\illustrations\nojpos\empty-notifications.png"
"illustration","offline","1042.4","448.9","apps\cashier\assets\illustrations\nojpos\offline.png"
"illustration","no-internet-cashier","1068","541.6","apps\cashier\assets\illustrations\nojpos\no-internet-cashier.png"
"illustration","error-occurred","1013.6","447.3","apps\cashier\assets\illustrations\nojpos\error-occurred.png"
"illustration","session-expired","1305.5","477.7","apps\cashier\assets\illustrations\nojpos\session-expired.png"
"illustration","permission-denied","1253.3","472.7","apps\cashier\assets\illustrations\nojpos\permission-denied.png"
"illustration","access-denied","1051.5","460.1","apps\cashier\assets\illustrations\nojpos\access-denied.png"
"illustration","loading-data","1008","424.5","apps\cashier\assets\illustrations\nojpos\loading-data.png"
"illustration","cloud-sync","980.6","416.6","apps\cashier\assets\illustrations\nojpos\cloud-sync.png"
"illustration","low-stock-warning","1258","590.8","apps\cashier\assets\illustrations\nojpos\low-stock-warning.png"
"illustration","out-of-stock","1012.9","513.5","apps\cashier\assets\illustrations\nojpos\out-of-stock.png"
"illustration","barcode-scanner","1078.3","558.2","apps\cashier\assets\illustrations\nojpos\barcode-scanner.png"
"illustration","maintenance","1058.7","445.8","apps\cashier\assets\illustrations\nojpos\maintenance.png"
"logo","logo-app-icon","1072.7","484.8","apps\cashier\assets\logos\nojpos\logo-app-icon.png"
"logo","logo-nojpos","865","178.8","apps\cashier\assets\logos\nojpos\logo-nojpos.png"
"logo","logo-symbol","720.1","334.7","apps\cashier\assets\logos\nojpos\logo-symbol.png"
