"Type","Name","PngKB","WebpKB","WebpSavingsPercent","SvgKB","SvgKind","Png","Webp","Svg"
"illustration","access-denied","460.1","23.5","94.9",,"","apps\cashier\assets\illustrations\nojpos\access-denied.png","apps\cashier\assets\illustrations\nojpos\access-denied.webp",""
"illustration","barcode-scanner","558.2","25.3","95.5",,"","apps\cashier\assets\illustrations\nojpos\barcode-scanner.png","apps\cashier\assets\illustrations\nojpos\barcode-scanner.webp",""
"illustration","cloud-sync","416.6","20.3","95.1",,"","apps\cashier\assets\illustrations\nojpos\cloud-sync.png","apps\cashier\assets\illustrations\nojpos\cloud-sync.webp",""
"illustration","empty-customers","484.2","27.4","94.4",,"","apps\cashier\assets\illustrations\nojpos\empty-customers.png","apps\cashier\assets\illustrations\nojpos\empty-customers.webp",""
"illustration","empty-notifications","520.8","22","95.8",,"","apps\cashier\assets\illustrations\nojpos\empty-notifications.png","apps\cashier\assets\illustrations\nojpos\empty-notifications.webp",""
"illustration","empty-products","549","24.7","95.5",,"","apps\cashier\assets\illustrations\nojpos\empty-products.png","apps\cashier\assets\illustrations\nojpos\empty-products.webp",""
"illustration","empty-reports","545.3","21.8","96",,"","apps\cashier\assets\illustrations\nojpos\empty-reports.png","apps\cashier\assets\illustrations\nojpos\empty-reports.webp",""
"illustration","empty-transactions","566.8","26","95.4",,"","apps\cashier\assets\illustrations\nojpos\empty-transactions.png","apps\cashier\assets\illustrations\nojpos\empty-transactions.webp",""
"illustration","error-occurred","447.3","22.1","95.1",,"","apps\cashier\assets\illustrations\nojpos\error-occurred.png","apps\cashier\assets\illustrations\nojpos\error-occurred.webp",""
"illustration","loading-data","424.5","17.1","96",,"","apps\cashier\assets\illustrations\nojpos\loading-data.png","apps\cashier\assets\illustrations\nojpos\loading-data.webp",""
"illustration","low-stock-warning","590.8","23","96.1",,"","apps\cashier\assets\illustrations\nojpos\low-stock-warning.png","apps\cashier\assets\illustrations\nojpos\low-stock-warning.webp",""
"illustration","maintenance","445.8","24.5","94.5",,"","apps\cashier\assets\illustrations\nojpos\maintenance.png","apps\cashier\assets\illustrations\nojpos\maintenance.webp",""
"illustration","no-internet-cashier","541.6","25","95.4",,"","apps\cashier\assets\illustrations\nojpos\no-internet-cashier.png","apps\cashier\assets\illustrations\nojpos\no-internet-cashier.webp",""
"illustration","offline","448.9","22.4","95",,"","apps\cashier\assets\illustrations\nojpos\offline.png","apps\cashier\assets\illustrations\nojpos\offline.webp",""
"illustration","out-of-stock","513.5","24","95.3",,"","apps\cashier\assets\illustrations\nojpos\out-of-stock.png","apps\cashier\assets\illustrations\nojpos\out-of-stock.webp",""
"illustration","payment-failed","450.9","26.5","94.1",,"","apps\cashier\assets\illustrations\nojpos\payment-failed.png","apps\cashier\assets\illustrations\nojpos\payment-failed.webp",""
"illustration","payment-success","433.8","23.6","94.6",,"","apps\cashier\assets\illustrations\nojpos\payment-success.png","apps\cashier\assets\illustrations\nojpos\payment-success.webp",""
"illustration","permission-denied","472.7","20.6","95.6",,"","apps\cashier\assets\illustrations\nojpos\permission-denied.png","apps\cashier\assets\illustrations\nojpos\permission-denied.webp",""
"illustration","receipt-ready","540.2","27.6","94.9",,"","apps\cashier\assets\illustrations\nojpos\receipt-ready.png","apps\cashier\assets\illustrations\nojpos\receipt-ready.webp",""
"illustration","refund-success","528.9","24","95.5",,"","apps\cashier\assets\illustrations\nojpos\refund-success.png","apps\cashier\assets\illustrations\nojpos\refund-success.webp",""
"illustration","session-expired","477.7","20.5","95.7",,"","apps\cashier\assets\illustrations\nojpos\session-expired.png","apps\cashier\assets\illustrations\nojpos\session-expired.webp",""
"illustration","shift-closed","568.7","22.3","96.1",,"","apps\cashier\assets\illustrations\nojpos\shift-closed.png","apps\cashier\assets\illustrations\nojpos\shift-closed.webp",""
"illustration","shift-open","549.2","24.8","95.5",,"","apps\cashier\assets\illustrations\nojpos\shift-open.png","apps\cashier\assets\illustrations\nojpos\shift-open.webp",""
"illustration","success-saved","482.5","25.9","94.6",,"","apps\cashier\assets\illustrations\nojpos\success-saved.png","apps\cashier\assets\illustrations\nojpos\success-saved.webp",""
"logo","logo-app-icon","484.8","14.4","97","646.5","raster-backed-svg-not-true-vector","apps\cashier\assets\logos\nojpos\logo-app-icon.png","apps\cashier\assets\logos\nojpos\logo-app-icon.webp","apps\cashier\assets\logos\nojpos\logo-app-icon.svg"
"logo","logo-nojpos","178.8","11.4","93.6","238.6","raster-backed-svg-not-true-vector","apps\cashier\assets\logos\nojpos\logo-nojpos.png","apps\cashier\assets\logos\nojpos\logo-nojpos.webp","apps\cashier\assets\logos\nojpos\logo-nojpos.svg"
"logo","logo-symbol","334.7","11.9","96.4","446.5","raster-backed-svg-not-true-vector","apps\cashier\assets\logos\nojpos\logo-symbol.png","apps\cashier\assets\logos\nojpos\logo-symbol.webp","apps\cashier\assets\logos\nojpos\logo-symbol.svg"
